feature,feature_label,physical_sample_id,scanner_a,scanner_b,pair_mean,difference_a_minus_b,bias,loa95_low,loa95_high
lab_a_mean,Mean a* (redness),BCG1-1,LABscanner,TRIOS3,-9.7452042942163,-1.8025326454880144,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-2,LABscanner,TRIOS3,-8.6907850524884,1.5183433273528841,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-3,LABscanner,TRIOS3,-8.16016959273899,1.7333749932876366,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-4,LABscanner,TRIOS3,-6.7928821359254865,2.1370556875454163,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-5,LABscanner,TRIOS3,-7.921959677958792,2.91986215577041,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-6,LABscanner,TRIOS3,-7.11451535208368,3.156399897961176,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-7,LABscanner,TRIOS3,-8.040795904575758,5.281093009941674,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG1-8,LABscanner,TRIOS3,-8.554761815770558,6.830416469687542,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-1,LABscanner,TRIOS3,-7.267249302022487,4.210301380867914,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-2,LABscanner,TRIOS3,-6.815785065015149,4.949666487935161,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-3,LABscanner,TRIOS3,-6.761522066955989,7.384624126669809,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-4,LABscanner,TRIOS3,-7.082969177563399,3.064474447186143,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-5,LABscanner,TRIOS3,-7.894228009931009,5.667988992213687,3.9187449446684637,-0.6873852192268517,8.52487510856378
lab_a_mean,Mean a* (redness),BCG2-6,LABscanner,TRIOS3,-6.3236269622076975,5.772770491082085,3.9187449446684637,-0.6873852192268517,8.52487510856378
